"Species","GeneID","GeneName","Elements","Citation.s....DOI.only","Closest.species.orthologs","Tissue","Comments","Primary.Inferred","Inferred.from","Inferred.Elements","A.thaliana_TAIR10 orthologs","G.max_Wm82.a2.v1 orthologs","M.truncatula_Mt4.0v1 orthologs","O.sativa_v7.0 orthologs","P.trichocarpa_v4.1 orthologs","S.bicolor_v3.1.1 orthologs","S.italica_v2.2 orthologs","S.viridis_v2.1 orthologs","V.vinifera_v2.1 orthologs","Z.mays_RefGen_V4 orthologs"
"Z.mays_RefGen_V4","Zm00001d042244","HAK5","K","10.1111/jipb.12756","","Roots, shoots","","Primary/Inferred","OsHAK1","Cs","","","","LOC_Os02g31940, LOC_Os02g31910, LOC_Os04g32920, LOC_Os01g70490","","Sobic.004G160000, Sobic.006G062100, Sobic.006G061300, Sobic.003G413600, Sobic.003G413700","Seita.1G175000, Seita.7G082800, Seita.7G082700, Seita.7G082300, Seita.5G439500","Sevir.1G177900, Sevir.7G090300, Sevir.7G090200, Sevir.7G089700, Sevir.5G446100","","Zm00001d025303, Zm00001d003861, Zm00001d042244"
"Z.mays_RefGen_V4","Zm00001d040627","HKT1","Na","10.1111/nph.14882","","Leaf","","Primary/Inferred","AtHKT1;1,OsHKT1;5,ZmHKT1;2","Na,K","AT4G10310","Glyma.07G130100, Glyma.12G133400, Glyma.06G271600, Glyma.01G002300","Medtr6g092890, Medtr6g092970, Medtr6g092840, Medtr6g092820, Medtr6g092940","LOC_Os04g51830, LOC_Os01g20160, LOC_Os02g07830","Potri.018G132200","Sobic.006G208100, Sobic.003G145800, Sobic.004G059800","Seita.7G230500, Seita.7G230600, Seita.5G192900, Seita.5G024400, Seita.1G068700","Sevir.7G241950, Sevir.5G195200, Sevir.5G023200, Sevir.1G067600","VIT_211s0103g00010, VIT_211s0103g00050, VIT_211s0103g00130, VIT_211s0103g00140, VIT_211s0103g00150","Zm00001d002378, Zm00001d040627"
"Z.mays_RefGen_V4","Zm00001d002378","HKT1;2","Na,K","10.1111/pbi.13927","","Shoots,Roots","","Primary/Inferred","AtHKT1;1,OsHKT1;5,ZmHKT1","Na","AT4G10310","Glyma.07G130100, Glyma.12G133400, Glyma.06G271600, Glyma.01G002300","Medtr6g092890, Medtr6g092970, Medtr6g092840, Medtr6g092820, Medtr6g092940","LOC_Os04g51830, LOC_Os01g20160, LOC_Os02g07830","Potri.018G132200","Sobic.006G208100, Sobic.003G145800, Sobic.004G059800","Seita.7G230500, Seita.7G230600, Seita.5G192900, Seita.5G024400, Seita.1G068700","Sevir.7G241950, Sevir.5G195200, Sevir.5G023200, Sevir.1G067600","VIT_211s0103g00010, VIT_211s0103g00050, VIT_211s0103g00130, VIT_211s0103g00140, VIT_211s0103g00150","Zm00001d002378, Zm00001d040627"
"Z.mays_RefGen_V4","Zm00001d032461","TLS1","B","10.1105/tpc.114.125898","","Shoots, roots, anthers","","Primary/Inferred","AtNIP5;1","B","AT4G10380","Glyma.20G170400, Glyma.10G221100","Medtr1g097840","LOC_Os10g36924","Potri.001G455000, Potri.011G146900","Sobic.001G195800","Seita.9G193500","Sevir.9G193400","VIT_202s0025g03260","Zm00001d032461"
"Z.mays_RefGen_V4","Zm00001d043062","WRKY64","Cd","10.1007/s00299-023-03112-8","","Leaf,Roots","","Primary",NA,NA,"","","","LOC_Os01g60600","","Sobic.003G337800","Seita.5G361900","Sevir.5G367300","","Zm00001d043062"
"Z.mays_RefGen_V4","Zm00001d028360","YS1","Fe","10.1104/pp.106.1.71","Osativa, Sbicolor, Taestivum","Roots","","Primary",NA,NA,"","Glyma.16G219400, Glyma.09G169700, Glyma.09G170000","Medtr4g072360, Medtr4g072350, Medtr4g072320, Medtr6g073110","LOC_Os04g08550, LOC_Os10g02380, LOC_Os10g02490, LOC_Os03g13390","","Sobic.006G018300, Sobic.006G018200, Sobic.001G443100","Seita.9G476100","Sevir.9G479900","VIT_205s0077g02180, VIT_218s0001g09570, VIT_205s0077g02150, VIT_205s0077g02190","Zm00001d025057, Zm00001d028360"
"Z.mays_RefGen_V4","Zm00001d041111","YS3","Fe","10.3389/fpls.2018.00157","","Leaf","","Primary/Inferred","AtZIFL2,AtZIF1,OsZIFL12","Cs,Zn,Fe","AT5G13750, AT5G13740, AT3G43790","Glyma.06G313700, Glyma.06G313600, Glyma.04G124800, Glyma.13G186500, Glyma.13G186700, Glyma.15G224200, Glyma.13G186400, Glyma.13G186600","Medtr3g086440, Medtr8g062990, Medtr3g010820, Medtr8g042870, Medtr8g042820, Medtr8g042780, Medtr8g042770, Medtr3g010850, Medtr1194s0010, Medtr8g075280, Medtr3g010840","LOC_Os11g04120, LOC_Os11g04104, LOC_Os12g03899, LOC_Os12g03860, LOC_Os11g04030, LOC_Os12g03830, LOC_Os11g04020","Potri.008G010600, Potri.006G026200, Potri.016G024400","Sobic.005G024800, Sobic.008G015700, Sobic.005G024900, Sobic.005G097900, Sobic.008G015800, Sobic.005G024700, Sobic.008G084800","Seita.7G312300, Seita.8G020800, Seita.8G070700, Seita.7G312500, Seita.7G312000, Seita.8G020600, Seita.3G089200","Sevir.7G322400, Sevir.8G023400, Sevir.8G071400, Sevir.7G322100, Sevir.8G023200, Sevir.3G091300","VIT_213s0047g00050, VIT_213s0047g00080, VIT_213s0047g00010, VIT_213s0047g00040, VIT_208s0040g00510","Zm00001d005002, Zm00001d052435, Zm00001d005001, Zm00001d052434, Zm00001d041111"
"Z.mays_RefGen_V4","Zm00001d000204",NA,"P",NA,NA,NA,NA,"Inferred","OsSPDT",NA,"AT3G15990","Glyma.07G006500, Glyma.08G207100, Glyma.13G360000, Glyma.15G014000","Medtr4g011970, Medtr2g102243","LOC_Os06g05160","Potri.001G179400, Potri.003G056200","Sobic.010G033800","Seita.4G032500","Sevir.4G031300","VIT_209s0002g04780, VIT_211s0016g04150","Zm00001d000204"
"Z.mays_RefGen_V4","Zm00001d000407",NA,"Na",NA,NA,NA,NA,"Inferred","AtSOS2",NA,"AT5G35410","Glyma.17G113700, Glyma.13G166100","Medtr4g114670","LOC_Os06g40370","Potri.006G068400, Potri.018G130500","Sobic.010G186300","Seita.4G221700","Sevir.4G231900","VIT_211s0016g05420","Zm00001d000407, Zm00001d036879"
"Z.mays_RefGen_V4","Zm00001d001803",NA,"Na,Fe,Zn,Mn,Mo",NA,NA,NA,NA,"Inferred","AtCTL1",NA,"AT3G15380","Glyma.13G278300, Glyma.12G223200, Glyma.12G150800, Glyma.06G246600","Medtr2g079490, Medtr8g059125","LOC_Os04g58504, LOC_Os04g58470","Potri.011G121100","Sobic.007G000700, Sobic.006G270400","Seita.6G001600, Seita.3G012800","Sevir.6G001500, Sevir.3G014100","VIT_219s0014g02970","Zm00001d052748, Zm00001d001803, Zm00001d049445"
