"Species","GeneID","Elements","GeneName","Citation.s....DOI.only","Closest.species.orthologs","Tissue","Comments","Primary.Inferred","Inferred.from","Inferred.Elements","A.thaliana_TAIR10 orthologs","G.max_Wm82.a2.v1 orthologs","M.truncatula_Mt4.0v1 orthologs","O.sativa_v7.0 orthologs","P.trichocarpa_v4.1 orthologs","S.bicolor_v3.1.1 orthologs","S.italica_v2.2 orthologs","S.viridis_v2.1 orthologs","V.vinifera_v2.1 orthologs","Z.mays_RefGen_V4 orthologs"
"P.trichocarpa_v4.1","Potri.001G010000","Mn",NA,NA,NA,NA,NA,"Inferred","AtMTP8,OsMTP8.2,OsMTP8.1",NA,"AT3G58060","Glyma.03G146700, Glyma.14G206600, Glyma.18G050400","Medtr5g075680, Medtr3g062610","LOC_Os02g53490, LOC_Os03g12530","Potri.001G010200, Potri.001G010000, Potri.001G010300","Sobic.004G315400, Sobic.001G445000","Seita.1G337100, Seita.9G478600","Sevir.1G343700, Sevir.9G482200","VIT_208s0007g06760, VIT_206s0004g01110","Zm00001d018242, Zm00001d028344"
"P.trichocarpa_v4.1","Potri.001G010200","Mn",NA,NA,NA,NA,NA,"Inferred","AtMTP8,OsMTP8.2,OsMTP8.1",NA,"AT3G58060","Glyma.03G146700, Glyma.14G206600, Glyma.18G050400","Medtr5g075680, Medtr3g062610","LOC_Os02g53490, LOC_Os03g12530","Potri.001G010200, Potri.001G010000, Potri.001G010300","Sobic.004G315400, Sobic.001G445000","Seita.1G337100, Seita.9G478600","Sevir.1G343700, Sevir.9G482200","VIT_208s0007g06760, VIT_206s0004g01110","Zm00001d018242, Zm00001d028344"
"P.trichocarpa_v4.1","Potri.001G010300","Mn",NA,NA,NA,NA,NA,"Inferred","AtMTP8,OsMTP8.2,OsMTP8.1",NA,"AT3G58060","Glyma.03G146700, Glyma.14G206600, Glyma.18G050400","Medtr5g075680, Medtr3g062610","LOC_Os02g53490, LOC_Os03g12530","Potri.001G010200, Potri.001G010000, Potri.001G010300","Sobic.004G315400, Sobic.001G445000","Seita.1G337100, Seita.9G478600","Sevir.1G343700, Sevir.9G482200","VIT_208s0007g06760, VIT_206s0004g01110","Zm00001d018242, Zm00001d028344"
"P.trichocarpa_v4.1","Potri.001G019100","Cu",NA,NA,NA,NA,NA,"Inferred","OsHMA4",NA,"","Glyma.03G086000","Medtr8g012390","LOC_Os02g10290","Potri.001G019100","Sobic.004G079900","Seita.1G049200","Sevir.1G048900","VIT_206s0004g01890","Zm00001d015829"
"P.trichocarpa_v4.1","Potri.001G044900","Mn",NA,NA,NA,NA,NA,"Inferred","AtNRAMP1",NA,"AT1G80830, AT1G15960","Glyma.08G218200, Glyma.07G023600, Glyma.13G369900, Glyma.15G003500","Medtr2g104990","LOC_Os06g46310","Potri.001G044900","Sobic.010G227800","Seita.4G263200","Sevir.4G276100","VIT_209s0070g00210","Zm00001d014391"
"P.trichocarpa_v4.1","Potri.001G046800","B",NA,NA,NA,NA,NA,"Inferred","AtNIP6;1",NA,"AT1G80760","Glyma.15G003900, Glyma.14G144900","Medtr2g104940, Medtr4g006730, Medtr4g006630, Medtr4g006650, Medtr0793s0010","","Potri.003G180900, Potri.001G046800","","","","VIT_209s0070g00080",""
"P.trichocarpa_v4.1","Potri.001G053600","Mn,Fe",NA,NA,NA,NA,NA,"Inferred","AtCMT1",NA,"AT4G13590","Glyma.10G127000","Medtr1g046730","LOC_Os11g34180","Potri.001G053600, Potri.003G174600","Sobic.006G021800","Seita.7G040400","Sevir.7G028100","VIT_205s0051g00440","Zm00001d004400"
"P.trichocarpa_v4.1","Potri.001G075000","Cs,K,Mg",NA,NA,NA,NA,NA,"Inferred","AtGSO1/SGN3",NA,"AT5G44700, AT4G20140","Glyma.08G090000, Glyma.05G134800, Glyma.09G048300, Glyma.15G155600","Medtr4g094790, Medtr2g437730","LOC_Os07g31500","Potri.001G075000, Potri.003G156200","Sobic.002G308200","Seita.2G320400","Sevir.2G331800","VIT_201s0010g03820, VIT_201s0010g00380","Zm00001d021535"
"P.trichocarpa_v4.1","Potri.001G082400","Fe,Zn,Cu,Mn",NA,NA,NA,NA,NA,"Inferred","AtYSL1,AtYSL3,OsYSL2,OsYSL9,OsYSL16",NA,"AT5G24380, AT5G53550, AT4G24120","Glyma.17G191300, Glyma.06G133000, Glyma.09G127600, Glyma.04G231900, Glyma.13G001500, Glyma.20G068300, Glyma.20G217400, Glyma.10G172900","Medtr3g092090, Medtr1g077840","LOC_Os04g45860, LOC_Os04g45900, LOC_Os02g43370","Potri.011G055224, Potri.001G084400, Potri.001G082400","Sobic.006G164200, Sobic.006G164300, Sobic.004G299700","Seita.7G185000, Seita.7G185100, Seita.1G254200, Seita.1G254100","Sevir.7G195100, Sevir.7G195200, Sevir.1G258500, Sevir.1G258400","VIT_216s0098g01250, VIT_202s0025g02500, VIT_202s0025g02510","Zm00001d002797, Zm00001d025977, Zm00001d017427"
"P.trichocarpa_v4.1","Potri.001G084400","Fe,Zn,Cu,Mn",NA,NA,NA,NA,NA,"Inferred","AtYSL1,AtYSL3,OsYSL2,OsYSL9,OsYSL16",NA,"AT5G24380, AT5G53550, AT4G24120","Glyma.17G191300, Glyma.06G133000, Glyma.09G127600, Glyma.04G231900, Glyma.13G001500, Glyma.20G068300, Glyma.20G217400, Glyma.10G172900","Medtr3g092090, Medtr1g077840","LOC_Os04g45860, LOC_Os04g45900, LOC_Os02g43370","Potri.011G055224, Potri.001G084400, Potri.001G082400","Sobic.006G164200, Sobic.006G164300, Sobic.004G299700","Seita.7G185000, Seita.7G185100, Seita.1G254200, Seita.1G254100","Sevir.7G195100, Sevir.7G195200, Sevir.1G258500, Sevir.1G258400","VIT_216s0098g01250, VIT_202s0025g02500, VIT_202s0025g02510","Zm00001d002797, Zm00001d025977, Zm00001d017427"
